Player_Name,Matches,Not_Outs,Runs_Scored,Balls_Faced,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Balls_Bowled,Runs_Conceded,Wickets_Taken,Four_Wicket_Hauls,Five_Wicket_Hauls,Best_Bowling,Best_Bowling_Match,Batting_Average,Batting_Strike_Rate,Bowling_Average,Economy_Rate,Bowling_Strike_Rate
Dushmantha Chameera,12,4,43,28,0,0,3,3,2,0,264,384,9,0,0,"(2, 17)",2/17,5.375,153.57142857142858,42.666666666666664,8.727272727272727,29.333333333333332
Faf du Plessis,132,11,4171,3111,0,33,382,145,73,0,6,16,0,0,0,"(0, 0)",0/0,34.47107438016529,134.07264545162326,0.0,16.0,0.0
Fazalhaq Farooqi,7,2,3,13,0,0,0,0,1,0,152,227,6,0,0,"(2, 32)",2/32,0.6,23.076923076923077,37.833333333333336,8.960526315789474,25.333333333333332
Gerald Coetzee,1,0,1,3,0,0,0,0,0,0,24,27,2,0,0,"(2, 27)",2/27,1.0,33.33333333333333,13.5,6.75,12.0
Glenn Maxwell,126,17,2722,1731,0,18,226,158,45,0,872,1210,33,0,0,"(2, 15)",2/15,24.972477064220183,157.25014442518776,36.666666666666664,8.325688073394495,26.424242424242426
Glenn Phillips,8,1,65,55,0,0,3,6,3,0,30,40,2,0,0,"(1, 10)",1/10,9.285714285714286,118.18181818181819,20.0,8.0,15.0
Hardik Pandya,124,39,2320,1587,0,10,173,126,66,0,1220,1793,53,0,0,"(3, 17)",3/17,27.294117647058822,146.1877756773787,33.83018867924528,8.818032786885245,23.0188679245283
Harpreet Bhatia,7,1,96,85,0,0,8,3,3,0,0,0,0,0,0,"(0, 0)",0/0,16.0,112.94117647058823,0.0,0.0,0.0
Harpreet Brar,30,10,162,140,0,0,11,7,9,0,493,619,21,1,0,"(4, 30)",4/30,8.1,115.71428571428572,29.476190476190474,7.533468559837727,23.476190476190474
Harry Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0/0,0.0,0.0,0.0,0.0,0.0
